Active Process Count,Active Processes,Idle Process Count
0,1,1
0,1,1
0,1,1
1,2,1
2,4,2
3,4,1
4,5,1
5,7,2
6,7,1
7,8,1
8,10,2
9,10,1
10,11,1
11,13,2
12,13,1
13,14,1
14,16,2
15,16,1
16,17,1
17,19,2
18,19,1
19,20,1
20,22,2
21,22,1
22,23,1
23,25,2
24,25,1
25,26,1
26,28,2
27,28,1
28,29,1
29,31,2
30,31,1
31,32,1
32,34,2
33,34,1
34,35,1
35,37,2
36,37,1
37,38,1
38,40,2
39,40,1
40,41,1
41,43,2
42,43,1
43,44,1
44,46,2
45,46,1
46,47,1
47,49,2
48,49,1
49,50,1
50,52,2
51,52,1
52,53,1
53,55,2
54,55,1
55,56,1
56,58,2
57,58,1
58,59,1
59,61,2
60,61,1
61,62,1
62,64,2
63,64,1
64,65,1
65,67,2
66,67,1
67,68,1
68,70,2
69,70,1
70,71,1
71,73,2
72,73,1
73,74,1
74,76,2
75,76,1
76,77,1
77,79,2
78,79,1
79,80,1
80,82,2
81,82,1
82,83,1
83,85,2
84,85,1
85,86,1
86,88,2
87,88,1
88,89,1
89,91,2
90,91,1
91,92,1
92,94,2
93,94,1
94,95,1
95,97,2
96,97,1
97,98,1
98,100,2
99,100,1
100,101,1
101,103,2
102,103,1
103,104,1
104,106,2
105,106,1
106,107,1
107,109,2
108,109,1
109,110,1
110,112,2
111,112,1
112,113,1
113,115,2
114,115,1
115,116,1
116,118,2
117,118,1
118,119,1
119,121,2
120,121,1
121,122,1
122,124,2
123,124,1
124,125,1
125,127,2
126,127,1
127,128,1
128,130,2
129,130,1
130,131,1
131,133,2
132,133,1
133,134,1
134,136,2
135,136,1
136,137,1
137,139,2
138,139,1
139,140,1
140,142,2
141,142,1
142,143,1
143,145,2
144,145,1
145,146,1
146,148,2
147,148,1
148,149,1
149,150,1
150,150,0
149,150,1
148,150,2
147,150,3
146,150,4
145,150,5
144,150,6
143,150,7
142,150,8
141,150,9
140,150,10
139,149,10
138,148,10
137,147,10
136,146,10
135,145,10
134,144,10
133,143,10
132,142,10
131,141,10
130,140,10
129,139,10
128,138,10
127,137,10
126,136,10
125,135,10
124,134,10
123,133,10
122,132,10
121,131,10
120,130,10
119,129,10
118,128,10
117,127,10
116,126,10
115,125,10
114,124,10
113,123,10
112,122,10
111,121,10
110,120,10
109,119,10
108,118,10
107,117,10
106,116,10
105,115,10
104,114,10
103,113,10
102,112,10
101,111,10
100,110,10
99,109,10
98,108,10
97,107,10
96,106,10
95,105,10
94,104,10
93,103,10
92,102,10
91,101,10
90,100,10
89,99,10
88,98,10
87,97,10
86,96,10
85,95,10
84,94,10
83,93,10
82,92,10
81,91,10
80,90,10
79,89,10
78,88,10
77,87,10
76,86,10
75,85,10
74,84,10
73,83,10
72,82,10
71,81,10
70,80,10
69,79,10
68,78,10
67,77,10
66,76,10
65,75,10
64,74,10
63,73,10
62,72,10
61,71,10
60,70,10
59,69,10
58,68,10
57,67,10
56,66,10
55,65,10
54,64,10
53,63,10
52,62,10
51,61,10
50,60,10
49,59,10
48,58,10
47,57,10
46,56,10
45,55,10
44,54,10
43,53,10
42,52,10
41,51,10
40,50,10
39,49,10
38,48,10
37,47,10
36,46,10
35,45,10
34,44,10
33,43,10
32,42,10
31,41,10
30,40,10
29,39,10
28,38,10
27,37,10
26,36,10
25,35,10
24,34,10
23,33,10
22,32,10
21,31,10
20,30,10
19,29,10
18,28,10
17,27,10
16,26,10
15,25,10
14,24,10
13,23,10
12,22,10
11,21,10
10,20,10
9,19,10
8,18,10
7,17,10
6,16,10
5,15,10
4,14,10
3,13,10
2,12,10
1,11,10
0,10,10
0,10,10
0,10,10
